序号,标题,URL,视频ID,类型,关键词,获取时间
1,神秘兒子要登大位？習近平的影子胞弟習遠平履歷遭封殺 讚賞資本主義 ｜史海秘辛｜希望視界,https://www.youtube.com/watch?v=Tb06Qh26iVo&pp=ygUJ5Lmg6L-c5bmz,Tb06Qh26iVo,watch,习远平,2025-08-18 17:50:12
2,翟山鹰：习近平的家族产业丨习远平丨陕西油田丨中国五矿丨大唐电信背后的实际控制人,https://www.youtube.com/watch?v=6GaYtcfbsHk&pp=ygUJ5Lmg6L-c5bmz,6GaYtcfbsHk,watch,习远平,2025-08-18 17:50:12
3,习远平如何开始他的复仇？他在习近平上位过程中的作用；新阶段习远平的四个新任务；他的白手套们；他如何充当幕后组织部长？他推荐了哪些人？｜习远平｜习仲勋 ｜习近平｜邓小平｜张澜澜｜【公开版】,https://www.youtube.com/watch?v=A6qxtXm-IGg&pp=ygUJ5Lmg6L-c5bmz,A6qxtXm-IGg,watch,习远平,2025-08-18 17:50:12
4,澳洲司法解读：杨兰兰会坐牢吗? 她是【习家人】吗? 习近平｜习远平｜红色贵族｜天龙人,https://www.youtube.com/watch?v=INvJZsm3OBM&pp=ygUJ5Lmg6L-c5bmz,INvJZsm3OBM,watch,习远平,2025-08-18 17:50:12
5,远平弟弟：平行宇宙中另一个习近平｜齐心“第三者插足”俘获习仲勋？最受宠的原是习远平，官场商场皆失意，情场却得意？张澜澜｜徐才厚｜柴静,https://www.youtube.com/watch?v=feVO2AnzbYE&pp=ygUJ5Lmg6L-c5bmz,feVO2AnzbYE,watch,习远平,2025-08-18 17:50:12
6,动手：习近平办公室主任韩世明被抓，杨兰兰是习远平亲生女儿，御林军最新公开表态。《老灯开讲第975期》,https://www.youtube.com/watch?v=bLWjzsOqeq0&pp=ygUJ5Lmg6L-c5bmz,bLWjzsOqeq0,watch,习远平,2025-08-18 17:50:12
7,炸裂：习远平放话其兄可能激流勇退，温家宝在决策会上提议习近平交权，中央军委规定要全面肃清习的流毒。《老灯开讲第959期》,https://www.youtube.com/watch?v=jcDT466Kvgk&pp=ygUJ5Lmg6L-c5bmz,jcDT466Kvgk,watch,习远平,2025-08-18 17:50:12
8,致歉：楊兰兰不是包子私生女，而是習遠平的孩子，這姑娘是習家海外資產總持有人,https://www.youtube.com/watch?v=fwAPNZcFPMU&pp=ygUJ5Lmg6L-c5bmz,fwAPNZcFPMU,watch,习远平,2025-08-18 17:50:12
9,炸了！習遠平說出這句話 ；笑噴！網友給習發了這個大獎；重返兩年後 美國再次退出這個組織 （《萬維讀報》20250722-1 BZ）,https://www.youtube.com/watch?v=pZYdr0-vWck&pp=ygUJ5Lmg6L-c5bmz0gcJCa0JAYcqIYzv,pZYdr0-vWck,watch,习远平,2025-08-18 17:50:12
10,習遠平寫文章自曝其醜，令家族蒙羞、習近平震怒、徐才厚送命！中共高層竟然如此下流！（2024年7月12日）,https://www.youtube.com/watch?v=MUbB4oLdQyc&pp=ygUJ5Lmg6L-c5bmz,MUbB4oLdQyc,watch,习远平,2025-08-18 17:50:12
11,習近平最不希望讓人知道的習家女人是誰？｜薇羽看世間 第852期  20240509,https://www.youtube.com/watch?v=Vy7mWVuhygA&pp=ygUJ5Lmg6L-c5bmz,Vy7mWVuhygA,watch,习远平,2025-08-18 17:50:12
12,杨兰兰与习远平什么关系？贝森特怒斥中国：这招对何立峰最管用！中国和印度加速修复关系｜华尔街六度,https://www.youtube.com/watch?v=txMRh6cH984&pp=ygUJ5Lmg6L-c5bmz,txMRh6cH984,watch,习远平,2025-08-18 17:50:12
13,"习近平弟弟习远平放话“习近平可能激流勇退”,公安部特勤局长 换人的真正原因.（2025.7.22) 《森哲深谈》",https://www.youtube.com/watch?v=Uk_T2WZOzr4&pp=ygUJ5Lmg6L-c5bmz,Uk_T2WZOzr4,watch,习远平,2025-08-18 17:50:12
14,杨兰兰习远平女儿，翟山鹰近况，潜逃迪拜，丧家之犬,https://www.youtube.com/watch?v=RAx_liurExs&pp=ygUJ5Lmg6L-c5bmz,RAx_liurExs,watch,习远平,2025-08-18 17:50:12
15,齊心回憶錄遭全面下架！習仲勳犯重婚罪，習近平為私生子。她曾向王震擺出最屈辱的姿態！,https://www.youtube.com/watch?v=J_iNf5YsYSo&pp=ygUJ5Lmg6L-c5bmz,J_iNf5YsYSo,watch,习远平,2025-08-18 17:50:12
16,江綿恆和江志成父子被軟禁？富可敵國的江家是怎樣空手套白狼的？｜薇羽看世間 20240808,https://www.youtube.com/watch?v=W6YfpsjHhPE&pp=ygUJ5Lmg6L-c5bmz,W6YfpsjHhPE,watch,习远平,2025-08-18 17:50:12
17,習近平女兒習明澤的神秘面紗終於揭開！作為父親的宣傳主管，一同訪問東南亞三國,https://www.youtube.com/watch?v=AFT7bzuJGp4&pp=ygUJ5Lmg6L-c5bmz0gcJCa0JAYcqIYzv,AFT7bzuJGp4,watch,习远平,2025-08-18 17:50:12
18,习近平和他俩妻子的那些事（4）#习近平 #彭丽媛 #习远平 #彭磊,https://www.youtube.com/shorts/nnLgjbowZRc,nnLgjbowZRc,shorts,习远平,2025-08-18 17:50:12
19,習仲勛紀念館改名，習遠平消失！虎蛇相害，習近平注定被他收！｜薇羽看世間【直播精華版】 20250529,https://www.youtube.com/watch?v=ItBIzN_c5KI&pp=ygUJ5Lmg6L-c5bmz,ItBIzN_c5KI,watch,习远平,2025-08-18 17:50:12
20,開明的習仲勛，卻教出了一個反其道而行的兒子習近平,https://www.youtube.com/shorts/MoxQjRkh-o4,MoxQjRkh-o4,shorts,习远平,2025-08-18 17:50:12
21,郝海东：薄熙来做梦都想不到会被习近平给干掉 #习近平 #叶钊颖 #秦刚 #郝海东 #足球,https://www.youtube.com/shorts/VazDmuCOcIk,VazDmuCOcIk,shorts,习远平,2025-08-18 17:50:12
22,習近平震怒? 外媒報導習近平兩會期間敲桌訓話3分鐘 當眾遭訓話3分鐘? 趙樂際成兩會焦點│記者 姚懷真│【國際局勢】20240312│三立iNEWS,https://www.youtube.com/watch?v=JyQuxUYbSXs&pp=ygUJ5Lmg6L-c5bmz,JyQuxUYbSXs,watch,习远平,2025-08-18 17:50:12
23,郝海东：许家印通过足球榜上了习远平,https://www.youtube.com/shorts/P7FF_vfc4xg,P7FF_vfc4xg,shorts,习远平,2025-08-18 17:50:12
1,70后太子党从政的总体情况；胡海峰当年的浪荡公子岁月；他和涌金系魏东跳楼案的关联；陈希和习近平如何利用他搞定胡锦涛；他的从政生涯政绩如何；他的政治前途如何。｜胡海峰｜胡锦涛 ｜习近平｜陈希｜魏东｜,https://www.youtube.com/watch?v=I31WsmNaJdw&pp=ygUJ6IOh5rW35bOw,I31WsmNaJdw,watch,胡海峰,2025-08-18 17:50:53
2,时事大家谈：给胡海峰加官，习近平走的什么棋？,https://www.youtube.com/watch?v=YQXKFsvaO94&pp=ygUJ6IOh5rW35bOw,YQXKFsvaO94,watch,胡海峰,2025-08-18 17:50:53
3,胡海峰與陳吉寧共同現身重要活動，傳遞不一般信號｜大宇拍案驚奇 #胡錦濤 #習近平 #胡海峰 #陳吉寧,https://www.youtube.com/shorts/Nn39PLDOkNU,Nn39PLDOkNU,shorts,胡海峰,2025-08-18 17:50:53
4,胡海峰破土而出，且等待惊涛骇浪......,https://www.youtube.com/watch?v=j2ets4WyG-Y&pp=ygUJ6IOh5rW35bOw,j2ets4WyG-Y,watch,胡海峰,2025-08-18 17:50:53
5,胡海峰任民政部副部长,https://www.youtube.com/shorts/PqHAPtYUZQ0,PqHAPtYUZQ0,shorts,胡海峰,2025-08-18 17:50:53
6,不一样的干部 - 锦涛之子胡海峰,https://www.youtube.com/watch?v=OUbggsiz9yU&pp=ygUJ6IOh5rW35bOw,OUbggsiz9yU,watch,胡海峰,2025-08-18 17:50:53
7,人事异动！胡海峰悄悄當上第一副部長。瞞天過海！習近平這樣應對病情：所有活動安排在同一天。特朗普給普京50天最後通牒有玄機，暗指北京,https://www.youtube.com/watch?v=AcnbbeWQHsg&pp=ygUJ6IOh5rW35bOw,AcnbbeWQHsg,watch,胡海峰,2025-08-18 17:50:53
8,团派卷土重来？| 胡春华主持政协会议，胡海峰高调亮相，正常的工作安排，而已！| 真正的团派兴起迹象，是什么？,https://www.youtube.com/watch?v=TutrO2YcD-o&pp=ygUJ6IOh5rW35bOw,TutrO2YcD-o,watch,胡海峰,2025-08-18 17:50:53
9,最是“无情”锦涛家——胡公子为何沉默？｜胡海峰｜胡锦涛｜习近平,https://www.youtube.com/watch?v=U57O2A44XiU&pp=ygUJ6IOh5rW35bOw,U57O2A44XiU,watch,胡海峰,2025-08-18 17:50:53
10,大有深意：胡海峰换岗，可解散共产党？｜Hu Haifeng’s Job Change—Could It Lead to the Dissolution of the Communist Party?,https://www.youtube.com/watch?v=pWBTS894uk8&pp=ygUJ6IOh5rW35bOw,pWBTS894uk8,watch,胡海峰,2025-08-18 17:50:53
11,胡海峰！舍我其谁！胡春华的接班人、团派第三代、中共第七代领导人呼之欲出！！！胡锦涛之子，集天时地利人和于一身！胡锦涛、胡春华、张又侠共推，想不赢，都难！,https://www.youtube.com/watch?v=IVpuLiwnlg0&pp=ygUJ6IOh5rW35bOw,IVpuLiwnlg0,watch,胡海峰,2025-08-18 17:50:53
12,16年沉默後爆發？胡海峰C位揭牌震動紅牆　胡錦濤父子劇本重啟　中共接班暗戰突升溫｜史海秘辛｜希望視界,https://www.youtube.com/watch?v=yyMJmr0ZXzY&pp=ygUJ6IOh5rW35bOw,yyMJmr0ZXzY,watch,胡海峰,2025-08-18 17:50:53
13,胡錦濤之子返京升官引關注 微博解禁「胡海峰」,https://www.youtube.com/watch?v=X7sJOmRuxMc&pp=ygUJ6IOh5rW35bOw,X7sJOmRuxMc,watch,胡海峰,2025-08-18 17:50:53
14,胡海峰和陈吉宁罕见同台；胡海峰的同事们：民政一把手陆治原缺席，李常官也可冲击壮王,https://www.youtube.com/watch?v=lHAg5LOhFRA&pp=ygUJ6IOh5rW35bOw,lHAg5LOhFRA,watch,胡海峰,2025-08-18 17:50:53
15,🩸彭麗媛殺出一條血路？💥巨變！胡海峰敏感時刻高升 王滬寧現身站台？🔥多名中國科學家被捕後 美教育部調查密歇根大學外國資助【阿波羅網】,https://www.youtube.com/watch?v=XkY0RJ9fYPY&pp=ygUJ6IOh5rW35bOw,XkY0RJ9fYPY,watch,胡海峰,2025-08-18 17:50:53
16,胡海峰将升正部级？随王沪宁参与全国对口援疆工作会议将担任统战常务副部长？彭丽媛失宠王小洪替习清洗公安部山东帮势力！赵克志小弟陈思源、孙茂利皆被免职！。,https://www.youtube.com/watch?v=LsVOw-uu8d4&pp=ygUJ6IOh5rW35bOw,LsVOw-uu8d4,watch,胡海峰,2025-08-18 17:50:53
17,【 #熱點互動 】胡錦濤之子胡海峰突「升官」，是習向團派釋放妥協信號，還是另有圖謀？李強參加達沃斯世界經濟論壇，稱中國2023經濟增長5.2%，遭國內外一片質疑｜ #新唐人電視台,https://www.youtube.com/watch?v=t5aF_r9QNx8&pp=ygUJ6IOh5rW35bOw,t5aF_r9QNx8,watch,胡海峰,2025-08-18 17:50:53
18,胡锦涛病多重？胡海峰行踪便知；川普对巴西收重税，卢拉真回击会让美国很疼；马斯克不搞政治，专心搞AI｜华尔街六度,https://www.youtube.com/watch?v=mD_7Oh9V-mQ&pp=ygUJ6IOh5rW35bOw,mD_7Oh9V-mQ,watch,胡海峰,2025-08-18 17:50:53
19,不寻常！胡錦濤之子再度露面，王沪宁陪同！打破胡病危傳言。日媒聚焦：習身患重症。省部級官員密集調動，拆散二十大習派佈局。卢比奥会王毅，預備川習会？,https://www.youtube.com/watch?v=u7LYxAnVin0&pp=ygUJ6IOh5rW35bOw,u7LYxAnVin0,watch,胡海峰,2025-08-18 17:50:53
20,後代爭接班？！習明澤與胡海峰會進入21大梯隊嗎？習明澤嚴格受限，但早有“接班”傳聞；胡海峰很活躍，在新疆高調現身，官媒給足關注，仕途能走多遠？習近平與胡錦濤的後代，正逐步進入公眾視野｜大宇拍案驚奇,https://www.youtube.com/watch?v=fFgG8Zv1oS0&pp=ygUJ6IOh5rW35bOw,fFgG8Zv1oS0,watch,胡海峰,2025-08-18 17:50:53
1,習近平女兒習明澤的神秘面紗終於揭開！作為父親的宣傳主管，一同訪問東南亞三國,https://www.youtube.com/watch?v=AFT7bzuJGp4&pp=ygUJ5Lmg5piO5rO9,AFT7bzuJGp4,watch,习明泽,2025-08-18 17:51:35
2,習近平要讓女兒習明澤接班？,https://www.youtube.com/shorts/t-GgF08DySw,t-GgF08DySw,shorts,习明泽,2025-08-18 17:51:35
3,圣上的长公主习明泽女士真的在美国么：发布者是为了配合川普对哈佛大学施压而编造的假新闻｜习近平家族｜楚晨｜邓家贵｜习远平｜劳拉卢默｜Laura Loomer,https://www.youtube.com/watch?v=X0ZF2PbVr54&pp=ygUJ5Lmg5piO5rO9,X0ZF2PbVr54,watch,习明泽,2025-08-18 17:51:35
4,只有他一人見過：紅朝公主習明澤的真容是這樣！哈佛的頂級機密曝光【文昭思緒飛揚451期】,https://www.youtube.com/watch?v=m2TR49v_PHM&pp=ygUJ5Lmg5piO5rO9,m2TR49v_PHM,watch,习明泽,2025-08-18 17:51:35
5,惊爆：习明泽十年禁忌情史，习家气炸！公主秘恋MIT离婚教授，扬言私奔；中共巨型军企董事长去向未明；俄国交通部长解职当天身亡 | #热点背景（20250709-1）,https://www.youtube.com/watch?v=KBsBpZ_AX_o&pp=ygUJ5Lmg5piO5rO9,KBsBpZ_AX_o,watch,习明泽,2025-08-18 17:51:35
6,習明澤真容曝光，美情報總監確認是她！,https://www.youtube.com/watch?v=NlTGgPIvYkM&pp=ygUJ5Lmg5piO5rO9,NlTGgPIvYkM,watch,习明泽,2025-08-18 17:51:35
7,秦剛傅曉田賣國？習明澤美宅曝光；秦剛案被掩蓋的真相【新聞看點 李沐陽9.19】,https://www.youtube.com/watch?v=t_iXPFb_WeE&pp=ygUJ5Lmg5piO5rO9,t_iXPFb_WeE,watch,习明泽,2025-08-18 17:51:35
8,【中視新聞】習近平夫婦訪英 網友眼尖發現女兒習明澤 20151024,https://www.youtube.com/watch?v=m34YAsS-S9Q&pp=ygUJ5Lmg5piO5rO9,m34YAsS-S9Q,watch,习明泽,2025-08-18 17:51:35
